Dataset,ID,transition_entropy,stationary_entropy,VR_exp
big,404,0.2739900612746883,0.5946532596866904,1.0
big,405,0.6169023635874372,1.0901302762922198,1.0
big,407,0.6727889391402516,1.1440013646781888,1.0
big,411,0.5996164711306596,1.0542971244579502,1.0
big,412,0.3098241621458972,0.6707233924513286,0.0
big,413,0.45780724329328953,1.0071057041654545,1.0
big,415,0.4652121469705734,0.8506428822313357,1.0
big,416,0.7119639770615697,0.942444879221046,0.0
big,417,0.6590014818672312,1.2420075550359426,1.0
big,418,0.630830184669669,1.1778373980607741,0.0
big,419,0.6188180473243253,1.0285648152777678,1.0
big,421,0.4418840854815286,0.7209922039402109,0.0
big,422,0.6445104469537474,1.1533741482755082,1.0
big,423,0.3011357530130331,0.6797796012423686,1.0
big,427,0.550706126234128,0.9660688954501153,0.0
big,428,0.5066774922793776,0.833959257270716,0.0
big,429,0.6304979824544678,1.0447070735586066,1.0
big,432,0.5412987202743641,0.8773051982632073,0.0
big,433,0.623385683898667,0.5309685879756175,1.0
big,435,0.3721926661688847,0.8239070623489797,1.0
big,438,0.6593092043063093,1.3048863424201809,
big,439,0.4226034345535222,0.7615385602031527,1.0
big,441,0.5496962663928996,0.9462992671981746,1.0
vir,3,0.9037426943236679,1.715974843643705,1.0
vir,4,0.9528867961238474,1.2879138089953281,1.0
vir,5,0.8144247175791556,1.7876971766234617,1.0
vir,6,0.9255485273759899,1.647211326332731,0.0
vir,7,0.9996282895073879,1.8084208835552087,0.0
vir,8,0.867940601598855,2.0231824378058025,1.0
vir,9,0.7886348362422163,1.9720198238874493,1.0
vir,10,0.89559205449301,2.147699647511545,0.0
vir,11,0.8592831816101167,2.081897287937713,1.0
vir,12,0.9146602375541856,2.173438861929891,0.0
vir,13,0.7384066167607315,1.3329661847890548,1.0
vir,14,0.7775623811782417,2.111385408468677,0.0
vir,15,0.9434787965287993,1.9569002360661563,1.0
vir,16,0.3736456198079548,0.8848795692455176,1.0
vir,17,1.1057510119624725,1.85666731365667,0.0
vir,19,0.9297792133053575,1.7551558198808976,0.0
