Dataset,ID,Condition,Start,transition_entropy,stationary_entropy
big,60,E,480,-0.0,0.6786591340630435
big,60,E,490,-0.0,0.6786591340630435
big,60,E,500,-0.0,0.6786591340630435
big,60,E,510,0.0,0.0
big,60,E,520,0.5401007728408102,0.5279177403696091
big,60,E,530,0.5401007728408102,0.5279177403696091
big,60,E,540,0.5430349944482901,0.5133091729858975
big,60,E,550,-0.0,-0.0
big,60,E,560,-0.0,-0.0
big,60,E,570,-0.0,-0.0
big,60,E,580,-0.0,-0.0
big,60,E,590,0.0,0.0
big,60,E,600,-0.0,-0.0
big,60,E,610,0.3399930790721555,1.0386521571078526
big,60,E,620,0.2897850653723429,1.0396477597049432
big,60,E,630,0.38856351893957625,0.9882265410271793
big,60,E,640,-0.0,-0.0
big,60,E,650,0.0,0.0
big,60,E,660,-0.0,0.8859678522938396
big,60,E,670,-0.0,0.8859678522938396
big,60,E,680,0.677595433364875,0.8640628300162179
big,60,E,690,0.2870714319283684,0.9355964075080454
big,60,E,700,0.2817803871260356,0.9323122275362778
big,60,E,710,0.35147883146130426,0.608823625938765
big,60,E,720,-0.0,-0.0
big,60,E,730,0.3468306452799374,0.6165949801320902
big,60,E,740,0.7260129445714563,0.6110023955288884
big,60,E,750,0.745857858683453,0.4441485069402216
big,60,E,760,0.5794829573580099,0.30160972075535464
big,60,E,770,-0.0,-0.0
big,60,E,780,-0.0,0.6885655098510485
big,60,E,790,0.3597386490980336,0.6535774824023513
big,60,E,800,0.41029999286751345,0.5836204985509494
big,60,E,810,-0.0,-0.0
big,61,E,0,0.7911914437536071,0.8652118745091726
big,61,E,10,0.7475664536734851,0.8332555281405812
big,61,E,20,0.8427751190965944,0.913226982520993
big,61,E,30,0.8412345370482746,1.0210542459980037
big,61,E,40,0.8572161662214048,1.0653259939320696
big,61,E,50,0.7897405102466661,1.0675467348535568
big,61,E,60,0.6898433429125268,1.085431624978043
big,61,E,70,0.7538846327703641,1.0237923838655845
big,61,E,80,0.7268467146495659,1.0095006247447151
big,61,E,90,0.7113513394765931,1.042291871550043
big,61,E,100,0.6943986103717199,0.6999456826598802
big,61,E,110,0.698294957744051,0.8069781634592859
big,61,E,120,0.6500043120039165,0.9558066509536647
big,61,E,130,0.5066586806795966,0.9833976820519743
big,61,E,140,0.6215317023068734,1.062492939221796
big,61,E,150,0.6459047713227923,1.0932121123025758
big,61,E,160,0.6146170298182275,1.022000868668771
big,61,E,170,0.5656076267869511,0.9646016853532343
big,61,E,180,0.6194002969277974,0.9474637998270612
big,61,E,190,0.6986347180989518,1.0763804839920266
big,61,E,200,0.6544479328436119,1.0841536680328598
big,61,E,210,0.7413560605838445,1.0724371076198258
big,61,E,220,0.7224050730970722,1.0666285240854003
big,61,E,230,0.7384370874848756,0.9548655889483035
big,61,E,240,0.8335891912366737,0.8377201879350853
big,61,E,250,0.7288851235854016,0.787443275475631
big,61,E,260,0.7667097239024583,0.7779551394638016
big,61,E,270,0.7950673952170995,0.960932691863593
big,61,E,280,0.7997799025062451,1.0479615207643385
big,61,E,290,0.6567746251775868,1.0787480796457793
big,61,E,300,0.5883531787854398,0.993322864980266
big,61,E,310,0.5160824033377157,0.8527632985466432
big,61,E,320,0.7624924282739003,1.0455035022834236
big,61,E,330,0.834536064875867,1.0214433210071499
big,61,E,340,0.8564314086216736,0.9987299892915142
big,61,E,350,0.8078152320927021,1.0854906757223284
big,61,E,360,0.6985616098209066,1.0925225749191463
big,61,E,370,0.7124124942596104,1.07440818468868
big,61,E,380,0.7978497016073082,1.0175455752854505
big,61,E,390,0.8215267829155584,0.9107148387430597
big,61,E,400,0.7273664485593385,0.7827164249630099
big,61,E,410,0.8626868287013126,0.9957176158477004
big,61,E,420,0.9777252422944952,0.7734444255346743
