index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
1196,big,76,E,60,0.8352742847309382,0.9643238161140526,1.0,20,0.45144281473425507,0.7325878618973047,0.38383146999668316,0.23173595421674786
1197,big,76,E,70,0.759065942264131,0.9097676565647864,1.0,20,0.45144281473425507,0.7325878618973047,0.307623127529876,0.17717979466748168
1198,big,76,E,80,0.730863580885697,0.961163151288783,1.0,20,0.45144281473425507,0.7325878618973047,0.27942076615144196,0.2285752893914783
1199,big,76,E,90,0.6402389515135423,1.0317139674723212,1.0,20,0.45144281473425507,0.7325878618973047,0.1887961367792872,0.2991261055750165
1200,big,76,E,100,0.5715039600445766,1.0407630608115226,1.0,20,0.45144281473425507,0.7325878618973047,0.12006114531032153,0.30817519891421785
1201,big,76,E,110,0.5919548685076624,1.011370534708433,1.0,20,0.45144281473425507,0.7325878618973047,0.14051205377340736,0.27878267281112823
1202,big,76,E,120,0.4820159160933288,0.8074933942659098,1.0,20,0.45144281473425507,0.7325878618973047,0.030573101359073707,0.07490553236860509
1203,big,76,E,130,0.6380736783324359,0.7322841489961217,0.0,20,0.45144281473425507,0.7325878618973047,0.18663086359818082,-0.00030371290118302863
1204,big,76,E,140,0.6307217490004337,0.5254688564510985,0.0,20,0.45144281473425507,0.7325878618973047,0.17927893426617858,-0.2071190054462062
1205,big,76,E,150,0.7166064552223581,0.5011909618339158,0.0,20,0.45144281473425507,0.7325878618973047,0.26516364048810304,-0.23139690006338898
1206,big,76,E,160,0.5037908828255142,0.51498423433842,0.0,20,0.45144281473425507,0.7325878618973047,0.05234806809125914,-0.21760362755888474
1207,big,76,E,170,0.5787336035143789,0.7962489091673157,0.0,20,0.45144281473425507,0.7325878618973047,0.1272907887801238,0.06366104727001098
1208,big,76,E,180,0.7555383415638406,1.030475075314168,0.0,20,0.45144281473425507,0.7325878618973047,0.3040955268295855,0.2978872134168633
1209,big,76,E,190,0.7266759094030071,1.032348272258086,1.0,20,0.45144281473425507,0.7325878618973047,0.275233094668752,0.29976041036078116
1210,big,76,E,200,0.7833863413652479,0.7184814508066196,1.0,20,0.45144281473425507,0.7325878618973047,0.3319435266309928,-0.014106411090685111
1211,big,76,E,210,0.6496490752391864,0.772064995560481,1.0,20,0.45144281473425507,0.7325878618973047,0.1982062605049313,0.03947713366317629
1212,big,76,E,220,0.7125161819457437,1.0700148486071783,0.0,20,0.45144281473425507,0.7325878618973047,0.26107336721148866,0.3374269867098736
1213,big,76,E,230,0.4628071731759027,0.901738841623302,0.0,20,0.45144281473425507,0.7325878618973047,0.011364358441647626,0.16915097972599724
1214,big,76,E,240,0.6091317379261736,0.977675301795889,0.0,20,0.45144281473425507,0.7325878618973047,0.15768892319191852,0.24508743989858428
1215,big,76,E,250,0.71867123579,1.0062469862944958,0.0,20,0.45144281473425507,0.7325878618973047,0.26722842105574496,0.2736591243971911
1216,big,76,E,260,0.6993515882448,1.0537534025577795,1.0,20,0.45144281473425507,0.7325878618973047,0.24790877351054497,0.32116554066047476
1218,big,76,E,280,0.6188725627214146,0.3491606680081183,1.0,20,0.45144281473425507,0.7325878618973047,0.16742974798715948,-0.38342719388918645
1220,big,76,E,300,0.4738846622570627,0.745506563769228,0.0,20,0.45144281473425507,0.7325878618973047,0.022441847522807645,0.012918701871923233
1221,big,76,E,310,0.0,0.0,0.0,20,0.45144281473425507,0.7325878618973047,-0.45144281473425507,-0.7325878618973047
1222,big,76,E,320,0.2434852050773412,1.021983233917966,0.0,20,0.45144281473425507,0.7325878618973047,-0.20795760965691387,0.28939537202066123
1223,big,76,E,330,0.2654429258427322,1.0407309041875248,0.0,20,0.45144281473425507,0.7325878618973047,-0.18599988889152286,0.30814304229022005
1224,big,76,E,340,0.0647975674372005,0.5499871002671041,0.0,20,0.45144281473425507,0.7325878618973047,-0.3866452472970546,-0.18260076163020067
1225,big,76,E,350,0.0403502823497222,0.4833996462412173,1.0,20,0.45144281473425507,0.7325878618973047,-0.41109253238453286,-0.24918821565608745
1226,big,76,E,360,0.0163814829667316,0.7116626824906738,1.0,20,0.45144281473425507,0.7325878618973047,-0.4350613317675235,-0.020925179406630967
1227,big,76,E,370,0.5948463664134171,0.8831199032739576,0.0,20,0.45144281473425507,0.7325878618973047,0.14340355167916208,0.15053204137665288
1228,big,76,E,380,0.6505756225600263,1.024622599385789,1.0,20,0.45144281473425507,0.7325878618973047,0.19913280782577125,0.2920347374884842
1229,big,76,E,390,0.5792866514795597,1.0815079497834608,1.0,20,0.45144281473425507,0.7325878618973047,0.12784383674530464,0.348920087886156
1230,big,76,E,400,0.5286707398765312,1.0713059280501298,0.0,20,0.45144281473425507,0.7325878618973047,0.07722792514227617,0.33871806615282507
1231,big,76,E,410,0.3625394745006116,1.0534843714774786,1.0,20,0.45144281473425507,0.7325878618973047,-0.08890334023364349,0.3208965095801739
1232,big,76,E,420,0.5240860464775927,1.017402171138787,1.0,20,0.45144281473425507,0.7325878618973047,0.07264323174333764,0.2848143092414823
