index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,NA
18895,big,382,E,490,0.5083713298128589,0.8231334454651646,0.0,20,False
18896,big,382,E,500,0.6948591644492439,0.9700128453532422,0.0,20,False
18897,big,382,E,510,0.8306599511898559,1.23044287310737,0.0,20,False
18898,big,382,E,520,0.983023399350266,1.4629514342917724,0.0,20,False
18899,big,382,E,530,0.8473058722952194,1.6176641244071082,0.0,20,False
18900,big,382,E,540,0.9343582578289028,1.9337616078851712,0.0,20,False
18901,big,382,E,550,1.0208778245722416,2.2541495401543084,1.0,20,False
18902,big,382,E,560,1.109341484609326,2.403316965697261,1.0,20,False
18903,big,382,E,570,1.1280902107781798,2.15398597803695,1.0,20,False
18904,big,382,E,580,1.0290816902311983,2.0652397781898646,1.0,20,False
18905,big,382,E,590,0.7376092926658302,1.3732113828378545,0.0,20,False
18906,big,382,E,600,0.1650935324330926,1.009507809397216,0.0,20,False
18907,big,382,E,610,0.1282069837091854,1.3877905136752635,0.0,20,False
18908,big,382,E,620,0.2710010235682883,1.2236543452695696,0.0,20,False
18909,big,382,E,630,0.4495047120900113,0.9153766095886228,0.0,20,False
18910,big,382,E,640,0.5639692808215481,0.7676610767981912,0.0,20,False
18911,big,382,E,650,0.5892699389482589,0.6920098845939504,0.0,20,False
18912,big,382,E,660,0.6716375983395472,0.9375752780810184,0.0,20,False
18913,big,382,E,670,0.8676084934706159,1.1057786525142834,0.0,20,False
18914,big,382,E,680,0.870224219008604,1.1775900279745488,0.0,20,False
18915,big,382,E,690,0.736037470421033,1.0837354813345017,0.0,20,False
18916,big,382,E,700,0.9302085462821984,1.4359031082792018,0.0,20,False
18917,big,382,E,710,0.9461278994169366,1.8476518722350377,1.0,20,False
18918,big,382,E,720,0.786737490076413,1.8878416867420105,1.0,20,False
18919,big,382,E,730,0.65066187679134,1.8040840563228848,1.0,20,False
18920,big,382,E,740,0.5593176835861136,1.1130701520582016,0.0,20,False
18921,big,382,E,750,0.6005935946435674,0.9492085724980502,0.0,20,False
18922,big,382,E,760,0.5939895909368419,0.9513243710563908,0.0,20,False
18923,big,382,E,770,0.8144819664256899,1.0689027118882073,0.0,20,False
18924,big,382,E,780,0.4435240820708347,1.2060676314904832,0.0,20,False
18925,big,382,E,790,0.4435240820708347,1.2060676314904832,0.0,20,False
18926,big,382,E,800,0.3034204111504235,1.047469845317181,0.0,20,False
18932,big,383,H,50,0.6581349216468937,1.0961619316095628,1.0,80,False
18933,big,383,H,60,0.5426913551863062,0.937400892219706,1.0,80,False
18934,big,383,H,70,0.5615030077733387,0.6530877419271096,1.0,80,False
18935,big,383,H,80,0.6184917539236844,1.1693718502076833,1.0,80,False
18936,big,383,H,90,0.6994675294491546,1.303034011171306,1.0,80,False
18937,big,383,H,100,0.9692081333381568,1.3419318563421276,1.0,80,False
18938,big,383,H,110,0.8878810448675274,1.5715339455056383,1.0,80,False
18939,big,383,H,120,0.8117086638144311,1.477226122186538,1.0,80,False
18940,big,383,H,130,0.9321759800020796,1.4535180094964013,0.0,80,False
18941,big,383,H,140,0.8917465174319444,1.609587509909681,0.0,80,False
18942,big,383,H,150,0.8499861913734962,1.6910571832057195,0.0,80,False
18943,big,383,H,160,0.5836801435309804,1.956601550020756,0.0,80,False
18944,big,383,H,170,0.8938475829129451,1.5284659283018285,0.0,80,False
18945,big,383,H,180,1.0626852112853529,1.6429691762137917,0.0,80,False
18946,big,383,H,190,0.9879258497594066,1.5702298500063805,1.0,80,False
18947,big,383,H,200,0.8675308398858292,1.3659834115898386,1.0,80,False
18948,big,383,H,210,0.8536271733544477,1.2290296621221295,1.0,80,False
18949,big,383,H,220,0.8720915775097697,1.1318189533178706,0.0,80,False
18950,big,383,H,230,0.6912552526221892,1.1288214402088794,0.0,80,False
18951,big,383,H,240,0.5624999720240944,1.1158876932795083,0.0,80,False
18952,big,383,H,250,0.343865930798393,0.9142711526082884,0.0,80,False
18953,big,383,H,260,0.5220983303346349,1.092160596128989,1.0,80,False
18955,big,383,H,280,1.0293878890782553,1.9279184700360457,1.0,80,False
18957,big,383,H,300,0.5645437816261285,1.078919077254675,0.0,80,False
18958,big,383,H,310,0.6850492651021584,1.096551276215267,0.0,80,False
18959,big,383,H,320,0.7714883223514946,1.321408811942982,0.0,80,False
18960,big,383,H,330,0.685077984812485,1.1153796701880725,0.0,80,False
18961,big,383,H,340,0.832420535172756,1.6913261349965678,0.0,80,False
18962,big,383,H,350,0.6525048460321698,1.565365383028769,1.0,80,False
18963,big,383,H,360,0.3926076651477644,1.6350133000853904,1.0,80,False
18964,big,383,H,370,0.5892665248228988,1.241097732219311,0.0,80,False
18965,big,383,H,380,0.9022248506424924,1.2439285321637052,1.0,80,False
18966,big,383,H,390,0.6457115026900369,1.2099514043062125,1.0,80,False
18967,big,383,H,400,0.0,0.0,0.0,80,False
18968,big,383,H,410,0.6574322453128654,0.5691427709923939,1.0,80,False
18969,big,383,H,420,0.9006019775893872,0.7583425488604086,1.0,80,False
18971,big,383,H,440,0.6324800264067126,1.0496337046584685,0.0,80,False
18972,big,383,H,450,0.4541224617303123,1.116329113426168,0.0,80,False
18973,big,383,H,460,0.5565065088729242,1.167199705284246,0.0,80,False
18974,big,383,H,470,0.7822546657336691,1.364608749427897,0.0,80,False
