index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
8858,big,192,P,790,0.8091204904768602,0.9948332500674436,0.0,80,0.6581785120098316,1.2014726749476936,0.15094197846702861,-0.20663942488025
8859,big,192,P,800,0.6227597628761306,1.3162226617343835,0.0,80,0.6581785120098316,1.2014726749476936,-0.03541874913370102,0.1147499867866899
8860,big,192,P,810,0.1765317034196714,1.153049520506976,0.0,80,0.6581785120098316,1.2014726749476936,-0.4816468085901602,-0.04842315444071765
8866,big,193,L,50,0.1603584553651944,0.6605841274999023,1.0,80,0.20823306894003385,0.6693518922038811,-0.047874613574839436,-0.008767764703978886
8867,big,193,L,60,0.2588517179153948,0.7618351942440647,1.0,80,0.20823306894003385,0.6693518922038811,0.05061864897536095,0.09248330204018351
8868,big,193,L,70,0.2270045906434894,0.7592652655465538,1.0,80,0.20823306894003385,0.6693518922038811,0.018771521703455557,0.08991337334267269
8869,big,193,L,80,0.1437283562958279,0.732725391472696,1.0,80,0.20823306894003385,0.6693518922038811,-0.06450471264420596,0.06337349926881486
8870,big,193,L,90,0.0,0.6611407001965581,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.00821119200732301
8871,big,193,L,100,0.0,0.5962285967896822,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.07312329541419893
8872,big,193,L,110,0.0,0.6931369572826797,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.023785065078798517
8873,big,193,L,120,0.0,0.4887480799320801,1.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.18060381227180106
8874,big,193,L,130,0.3471948850414781,0.5385707287574498,0.0,80,0.20823306894003385,0.6693518922038811,0.13896181610144426,-0.13078116344643131
8875,big,193,L,140,0.4273379374913809,0.6044100462532416,0.0,80,0.20823306894003385,0.6693518922038811,0.21910486855134703,-0.06494184595063957
8876,big,193,L,150,0.2342916523716771,0.8108123288113915,0.0,80,0.20823306894003385,0.6693518922038811,0.026058583431643245,0.1414604366075104
8877,big,193,L,160,0.0,0.7728653406961457,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.10351344849226451
8878,big,193,L,170,0.0,0.6926601589145682,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.023308266710687087
8879,big,193,L,180,0.1643102387063301,0.8025679776732577,0.0,80,0.20823306894003385,0.6693518922038811,-0.04392283023370375,0.13321608546937658
8880,big,193,L,190,0.1597953274016136,0.8168961490214552,1.0,80,0.20823306894003385,0.6693518922038811,-0.04843774153842026,0.1475442568175741
8881,big,193,L,200,0.2017193256272222,0.7977967522967131,1.0,80,0.20823306894003385,0.6693518922038811,-0.006513743312811654,0.12844486009283196
8882,big,193,L,210,0.270692553892734,0.7714402613644296,1.0,80,0.20823306894003385,0.6693518922038811,0.06245948495270015,0.10208836916054842
8883,big,193,L,220,0.2270986947374694,0.7939123471722147,0.0,80,0.20823306894003385,0.6693518922038811,0.01886562579743556,0.12456045496833357
8884,big,193,L,230,0.1994023221720479,0.8494593086996449,0.0,80,0.20823306894003385,0.6693518922038811,-0.008830746767985953,0.18010741649576378
8885,big,193,L,240,0.0,0.6912937255946405,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.02194183339075939
