ID,Condition,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
006,1,11.22778,5A,4B,1,0.49987000000000137,16.50985335350847,1.7127812280394394,3.4264533339456955
006,1,12.3602,4B,4A,1,0.6332199999999997,2.365460583060205,0.5394391593330984,0.8518984860445006
006,1,13.2842,4A,7A,1,0.36629999999999896,9.690632243093155,1.8955647354943626,5.174896902796528
006,1,13.68424,7A,9A,1,0.43293999999999855,28.719603345881836,3.512594667288324,8.113352121052191
006,1,14.15029,9A,6A,1,0.03417999999999921,1.9839187797783495,1.8549308467008176,54.26948059393975
006,1,14.25088,6A,5A,1,0.06622999999999912,0.6416331474776911,0.6911068310100907,10.434951396800543
006,1,14.41688,5A,8A,1,0.033479999999999066,0.1441018485089529,1.4489066186732151,43.27678072500763
006,1,14.48388,8A,2B,1,0.033360000000000056,0.0007531193869425579,3.439364156554053,103.09844593986952
006,1,14.71736,2B,8B,1,0.1326900000000002,0.6885169541367588,3.635456937544755,27.398122974939707
006,1,14.88364,8B,6A,1,0.06654999999999944,0.2819931749194211,2.0010314315843956,30.068090632372837
006,1,15.28331,6A,9B,1,0.03377000000000052,0.1762500684949515,1.879132200287399,55.64501629515457
006,1,15.48339,9B,6A,1,0.03304999999999936,0.3802403670644452,1.9254302861433963,58.25810245517197
006,1,15.78358,6A,5B,1,0.09939999999999927,0.46036001165910534,0.7850146789576611,7.897531981465462
006,1,16.08368,5B,5A,1,0.032689999999998776,1.3592954839212723,0.42501716240604936,13.001442716612582
006,1,16.18316,5A,2B,1,0.03342999999999918,1.5951794309780496,1.841148047135268,55.07472471239345
006,1,16.28321,2B,7A,1,0.3663799999999995,18.06758583278659,4.892951257004701,13.354853586453158
006,1,16.74901,7A,7B,1,0.033900000000002706,0.5925124194830431,0.5337559839938565,15.745014277103655
006,1,17.14847,7B,8A,1,0.06711999999999918,1.4708796783406015,1.0041613338145223,14.960687333351231
006,1,17.54997,8A,6A,1,0.3324300000000022,16.63634134531376,2.102014854880978,6.3231803834821285
006,1,17.94942,6A,9A,1,0.10034999999999883,5.804028533397869,1.656434018037921,16.506567195196215
006,1,18.61469,9A,6A,1,0.36650000000000205,2.171428680595369,1.813848279931924,4.949108540059792
006,1,19.58111,6A,8A,1,0.16581000000000046,7.914028523435576,2.523307227013169,15.218064212129317
006,1,20.08005,8A,4A,1,0.06713999999999842,3.299881228737071,1.0983406088140646,16.358960512572093
006,1,20.31385,4A,PresentationBoard,1,0.3328900000000026,50.01883428412359,4.624006691952445,13.890494433453721
006,1,22.77955,PresentationBoard,4B,1,0.19971999999999923,44.90269397582388,4.134104578218813,20.699502194165976
006,1,23.13787,4B,5B,1,0.048040000000000305,7.030389318000559,1.6872040794204948,35.12081763989351
006,1,23.40151,5B,6A,1,0.06810000000000116,2.0244140412473683,0.8853672989459233,13.000988237091162
006,1,23.73628,6A,6B,1,0.06667999999999807,0.7394637353252165,0.40846932899423427,6.125814771959299
006,1,23.9018,6B,5B,1,0.10013000000000005,3.5720824380192226,0.9233552698368919,9.221564664305317
006,1,24.06999,5B,8A,1,0.03475999999999857,1.371480108626585,1.8672921917234828,53.719568231402754
006,1,24.13457,8A,5B,1,0.033370000000001454,1.1983279379317935,1.826743457708743,54.74208743508131
006,1,24.20098,5B,5A,1,0.06681000000000026,1.5981822261122858,0.45374416909519044,6.791560680963758
006,1,24.56772,5A,2A,1,0.09923999999999822,0.1264348558740096,1.577307442209983,15.893867817513215
006,1,24.83349,2A,5A,1,0.40131999999999834,5.652684913504984,2.1937579466574264,5.4663558921993305
006,1,25.40104,5A,PresentationBoard,1,0.36606000000000094,69.02841242575974,4.611295475731445,12.597102867648562
006,1,28.96607,PresentationBoard,2B,1,0.27789000000000286,61.91146714039891,2.837784353021647,10.211898064059945
006,1,29.34298,2B,6A,1,0.4338099999999976,4.5633844762196105,3.2394631842577697,7.467470054304391
006,1,30.04322,6A,6B,1,0.032979999999998455,0.5906657384225866,0.22930576888076787,6.952873525796805
006,1,30.34247,6B,8B,1,0.16676999999999964,0.2423599150768041,2.5560780226362914,15.32696541725908
006,1,30.64264,8B,5B,1,0.03363999999999834,0.4327285661372855,1.7363015596188502,51.61419618367824
006,1,30.90948,5B,5A,1,0.033090000000001396,2.7541150092365143,0.3465131800750039,10.471839833030804
006,1,30.97682,5A,PresentationBoard,1,0.43090000000000117,79.53516645657945,4.449823018501388,10.32681136807003
006,1,31.84065,PresentationBoard,4A,1,0.3010899999999985,46.28219073460815,4.806289675916692,15.96296680699032
006,1,32.20773,4A,5A,1,0.09020999999999901,6.850541459227763,2.327549726214192,25.801460217428417
006,1,32.59804,5A,4B,1,0.1328500000000048,0.6649293342153797,1.4777845361063702,11.123707460341112
006,1,33.09807,4B,PresentationBoard,1,0.3654200000000003,56.19883535856651,4.167162940214908,11.40376262989137
006,1,38.38411,PresentationBoard,4B,1,0.33552999999999855,38.75347960163181,5.306324342733538,15.814753800654369
006,1,39.31728,4B,4A,1,0.033820000000005734,1.3861524071315898,0.6506305052808704,19.23803977766884
006,1,39.48356,4A,PresentationBoard,1,0.26603000000000065,38.93027411457455,3.8104873330198865,14.323524914558046
006,1,42.73565,PresentationBoard,4B,1,0.35629000000000133,48.90008167988127,5.478234713133884,15.375774546391602
006,1,44.80474,4B,4A,1,0.26462000000000074,3.085559929736256,0.6021832466760343,2.2756528103545937
006,1,45.10285,4A,1A,1,0.5995699999999999,2.4098158164096617,1.4461862503915464,2.4120390453017104
006,1,46.32359,1A,1B,1,0.03307999999999822,0.026666706357303838,0.628536735665466,19.00050591491837
006,1,46.42364,1B,1A,1,0.13307999999999964,2.3066445435507887,0.6727575258270998,5.05528648803052
006,1,47.06154,1A,1B,1,0.06385000000000218,4.150851669942597,0.6754264361527466,10.578331028233727
006,1,47.17229,1B,2A,1,0.21762999999999977,25.467817800341322,1.485105355075188,6.823991890250378
006,1,47.64812,2A,6A,1,0.1318899999999985,15.090542632513944,1.9150869245812965,14.520334555927805
006,1,47.87868,6A,9A,1,0.1334799999999987,5.392685423288455,1.786343010585316,13.382851442802917
006,1,48.04562,9A,6A,1,0.06683999999999912,0.13746905680329746,1.7551767391195565,26.259376707354573
006,1,48.17908,6A,6B,1,0.03240000000000265,0.2901814279864965,0.2955544482041337,9.122050870497207
006,1,48.47863,6B,9B,1,0.032969999999998834,1.152139328146518,1.777196317926191,53.9034370010996
006,1,48.74567,9B,9A,1,0.099410000000006,3.880492978469519,0.20894147880677044,2.101815499514715
006,1,48.97958,9A,5A,1,0.13271999999999906,6.959142764095532,1.974703646457131,14.87871945793509
006,1,49.51157,5A,4B,1,0.06633000000000067,1.7902554011216338,1.1466564060127034,17.287146178391254
006,1,49.94456,4B,7A,1,0.03308999999999429,0.07082415317963608,1.966424780614618,59.4265572866412
006,1,50.27766,7A,7B,1,0.0332300000000032,0.16019025412254706,0.4642677764960219,13.971344462713729
006,1,50.41059,7B,1A,1,0.07310999999999979,1.8107190613423754,2.0628896382007453,28.216244538377122
006,1,50.5452,1A,1B,1,0.24333999999999634,2.662254697002723,0.8745003076803353,3.5937384222912323
006,1,51.26765,1B,1A,1,0.03301999999999339,0.23098199253826834,0.693754970491744,21.010144472800814
006,1,54.16678,1A,1B,1,0.0665300000000002,0.13747772999622754,0.7470930655655226,11.22941628687089
